id	kakencode	mextcode	name	nameus	zip	address	tel	url	campus	note	lat	lon	source
11	20104	F101210100116	名寄市立大学	Nayoro City University	096-8641	北海道名寄市西4条北8丁目1	01654-2-4194	https://nayoro.ac.jp/			44.364698	142.458361	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
12	20105	F101210100125	札幌市立大学	Sapporo City University	005-0864	北海道札幌市南区芸術の森1丁目	011-592-2300	https://www.scu.ac.jp/	芸術の森キャンパス		42.944639	141.340708	公式ウェブサイト（郵便番号相違）
13	20106	F101210100134	公立千歳科学技術大学	Chitose Institute of Science and Technology	066-8655	北海道千歳市美々758番地65	0123-27-6001	https://www.chitose.ac.jp/			42.793532	141.695993	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
14	20107	F101210100143	旭川市立大学	Asahikawa City University	079-8501	北海道旭川市永山3条23丁目1番9号	0166-48-3121	https://www.asahikawa-u.ac.jp/		2023年4月公立化（旧・旭川大学，Asahikawa University）	43.816109	142.445899	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
15	30102	F101310100141	札幌大学	Sapporo University	062-8520	北海道札幌市豊平区西岡3条7丁目3番1号	011-852-1181	https://www.sapporo-u.ac.jp/			43.010744	141.383641	公式ウェブサイト
16	30103	F101310100150	札幌学院大学	Sapporo Gakuin University	069-8555	北海道江別市文京台11	011-386-8111	https://www.sgu.ac.jp/	江別キャンパス		43.066588	141.493973	公式ウェブサイト
17	30104	F101310100169	函館大学	Hakodate University	042-0955	北海道函館市高丘町51番1号	0138-57-1181	https://www.hakodate-u.ac.jp/			41.788824	140.806344	公式ウェブサイト
18	30105	F101310100178	藤女子大学	Fuji Women’s University	001-0016	北海道札幌市北区北16条西2丁目	011-736-0311	https://www.fujijoshi.ac.jp/	北16条キャンパス		43.080005	141.350898	公式ウェブサイト
19	30106	F101310100187	北星学園大学	Hokusei Gakuen University	004-8631	北海道札幌市厚別区大谷地西2丁目3番1号	011-891-2731	https://www.hokusei.ac.jp/			43.024768	141.448726	公式ウェブサイト
20	30107	F101310100196	北海学園大学	Hokkai-Gakuen University	062-8605	北海道札幌市豊平区旭町4丁目1番40号	011-841-1161	https://www.hgu.jp/	豊平キャンパス		43.045026	141.368787	公式ウェブサイト
21	30108	F101310100203	北海道科学大学	Hokkaido University of Science	006-8585	北海道札幌市手稲区前田7条15丁目4-1	011-681-2161	https://www.hus.ac.jp/			43.135152	141.247203	公式ウェブサイト
22	30109	F101310100212	酪農学園大学	Rakuno Gakuen University	069-8501	北海道江別市文京台緑町582	011-386-1111	https://www.rakuno.ac.jp/			43.07329	141.51096	公式ウェブサイト
23	30110	F101310100230	北海道医療大学	Health Sciences University of Hokkaido	061-0293	北海道石狩郡当別町字金沢1757番地	0133-23-1211	https://www.hoku-iryo-u.ac.jp/	当別キャンパス	2028年校舎移転予定	43.231413	141.548781	公式ウェブサイト
24	30112	F101310100249	北海商科大学	Hokkai School of Commerce	062-8607	北海道札幌市豊平区豊平6条6丁目10	011-841-1161	https://www.hokkai.ac.jp/			43.048346	141.369854	公式ウェブサイト
25	30114	F101310100258	星槎道都大学	Seisa Dohto University	061-1196	北海道北広島市中の沢149	011-372-3111	https://www.seisadohto.ac.jp/			42.979444	141.542496	公式ウェブサイト
26	30115	F101310100267	北海道情報大学	Hokkaido Information University	069-8585	北海道江別市西野幌59番2	011-385-4411	https://www.do-johodai.ac.jp/			43.077836	141.537176	公式ウェブサイト
27	30116	F101310100276	札幌国際大学	Sapporo International University	004-8602	北海道札幌市清田区清田4条1丁目4-1	011-881-8844	https://www.siu.ac.jp/			43.000726	141.42616	公式ウェブサイト
28	30117	F101310100285	北翔大学	Hokusho University	069-8511	北海道江別市文京台23番	011-386-8011	https://www.hokusho-u.ac.jp/			43.0646224	141.4902794	公式ウェブサイト
29	30119	F101310100294	北洋大学	Hokuyo University	059-1266	北海道苫小牧市錦西町3丁目2番1号	0144-61-3111	https://hokuyo.ac.jp/			42.600832	141.467555	公式ウェブサイト
30	30120	F101310100301	日本赤十字北海道看護大学	Japanese Red Cross Hokkaido College of Nursing	090-0011	北海道北見市曙町664番地1	0157-66-3311	https://www.rchokkaido-cn.ac.jp/			43.82968	143.907557	公式ウェブサイト
31	30121	F101310100310	北海道文教大学	Hokkaido Bunkyo University	061-1449	北海道恵庭市黄金中央5丁目196番1	0123-34-0019	https://www.do-bunkyodai.ac.jp/			42.890516	141.591604	公式ウェブサイト
32	30122	F101310100329	天使大学	Tenshi College	065-0013	北海道札幌市東区北13条東3丁目1-30	011-741-1051	https://www.tenshi.ac.jp/			43.077508	141.357461	公式ウェブサイト
33	30123	F101310100338	育英館大学	Ikueikan University	097-0013	北海道稚内市若葉台1丁目2290番28	0162-32-7511	https://www.ikueikan.ac.jp	稚内本校		45.382804	141.717922	公式ウェブサイト
34	30125	F101310100347	札幌大谷大学	Sapporo Otani University	065-8567	北海道札幌市東区北16条東9丁目1-1	011-742-1651	https://www.sapporo-otani.ac.jp/		2027年4月改称予定（札幌芸術大学）	43.082249	141.366486	公式ウェブサイト
35	30126	F101310100356	札幌保健医療大学	Sapporo University of Health Sciences	007-0894	北海道札幌市東区中沼西4条2丁目1-15	011-792-3350	https://www.sapporo-hokeniryou-u.ac.jp/			43.132242	141.412683	公式ウェブサイト
36	30127	F101310100365	日本医療大学	Japan Health Care College	062-0053	北海道札幌市豊平区月寒東3条11丁目1-50	011-351-6100	https://www.jhu.ac.jp/	月寒本キャンパス		43.0291851	141.4137343	公式ウェブサイト
37	30128	F101310100374	北海道千歳リハビリテーション大学	Hokkaido Chitose College of Rehabilitation	066-0055	北海道千歳市里美2丁目10番	0123-28-5331	https://www.chitose-reha.ac.jp/			42.785487	141.598217	公式ウェブサイト
38	30129	F101310100383	北海道武蔵女子大学	Hokkaido Musashi Women’s University	001-0022	北海道札幌市北区北22条西13丁目	011-726-3141	https://www.hmu.ac.jp/		2024年4月開学	43.086771	141.329752	公式ウェブサイト
39	11101	F102110100572	弘前大学	Hirosaki University	036-8560	青森県弘前市文京町1番地	0172-36-2111	https://www.hirosaki-u.ac.jp/	文京町地区		40.589483	140.472484	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
40	21101	F102210100589	青森公立大学	Aomori Public University	030-0196	青森県青森市大字合子沢字山崎153-4	017-764-1555	https://www.nebuta.ac.jp/			40.751921	140.77219	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
41	21102	F102210100598	青森県立保健大学	Aomori University of Health and Welfare	030-8505	青森県青森市大字浜館字間瀬58番地の1	017-765-2000	https://www.auhw.ac.jp/			40.813933	140.792219	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
42	31101	F102310100603	青森大学	Aomori University	030-0943	青森県青森市幸畑2-3-1	017-738-2001	https://www.aomori-u.ac.jp/			40.784068	140.781174	公式ウェブサイト
43	31102	F102310100612	柴田学園大学	Shibata Gakuen University	036-8530	青森県弘前市清原1-1-16	0172-33-2289	https://univ.shibata.ac.jp/			40.580441	140.485239	公式ウェブサイト
44	31104	F102310100621	弘前学院大学	Hirosaki Gakuin University	036-8577	青森県弘前市稔町13-1	0172-34-5211	https://www.hirogaku.ac.jp/			40.583788	140.468132	公式ウェブサイト
45	31103	F102310100630	八戸工業大学	Hachinohe Institute of Technology	031-8501	青森県八戸市妙大開88-1	0178-25-3111	https://www.hi-tech.ac.jp/			40.479642	141.562761	公式ウェブサイト
46	31105	F102310100649	八戸学院大学	Hachinohe Gakuin University	031-8588	青森県八戸市美保野13-98	0178-25-2711	https://www.hachinohe-u.ac.jp/	美保野キャンパス		40.484417	141.590742	公式ウェブサイト
47	31106	F102310100658	青森中央学院大学	Aomori Chuo Gakuin University	030-0132	青森県青森市横内神田12番地	017-728-0131	https://www.aomoricgu.ac.jp/			40.784291	140.762172	公式ウェブサイト
48	31107	F102310100667	弘前医療福祉大学	Hirosaki University of Health and Welfare	036-8102	青森県弘前市小比内三丁目18番地1	0172-27-1001	https://www.hirosakiuhw.jp/			40.588627	140.500355	公式ウェブサイト
49	11201	F103110100731	岩手大学	Iwate University	020-8550	岩手県盛岡市上田3-18-8	019-621-6006	https://www.iwate-u.ac.jp/	上田キャンパス		39.715868	141.138455	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
50	21201	F103210100748	岩手県立大学	Iwate Prefectural University	020-0693	岩手県滝沢市巣子152-52	019-694-2000	https://www.iwate-pu.ac.jp/	滝沢キャンパス		39.802062	141.138526	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
51	31201	F103310100755	岩手医科大学	Iwate Medical University	028-3694	岩手県紫波郡矢巾町医大通一丁目1-1	019-651-5111	https://www.iwate-med.ac.jp/	矢巾キャンパス		39.6102715	141.1625542	岩手県：岩手県私立学校一覧，＜https://www.pref.iwate.jp/kyouikubunka/kyouiku/shigaku/1006747/1006748.html＞
52	31202	F103310100764	富士大学	Fuji University	025-8501	岩手県花巻市下根子450-3	0198-23-6221	https://www.fuji-u.ac.jp/			39.36031	141.105031	岩手県：岩手県私立学校一覧，＜https://www.pref.iwate.jp/kyouikubunka/kyouiku/shigaku/1006747/1006748.html＞
53	31203	F103310100773	盛岡大学	Morioka University	020-0694	岩手県滝沢市砂込808	019-688-5555	https://morioka-u.ac.jp/			39.815401	141.136974	岩手県：岩手県私立学校一覧，＜https://www.pref.iwate.jp/kyouikubunka/kyouiku/shigaku/1006747/1006748.html＞
54	31204	F103310100782	岩手保健医療大学	Iwate University of Health and Medical Sciences	020-0045	岩手県盛岡市盛岡駅西通1丁目6-30	019-606-7030	https://www.iwate-uhms.ac.jp/			39.703258	141.132068	岩手県：岩手県私立学校一覧，＜https://www.pref.iwate.jp/kyouikubunka/kyouiku/shigaku/1006747/1006748.html＞
55	11301	F104110100856	東北大学	Tohoku University	980-8577	宮城県仙台市青葉区片平2-1-1	022-717-7800	https://www.tohoku.ac.jp/	片平キャンパス		38.253834	140.874074	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
56	11302	F104110100865	宮城教育大学	Miyagi University of Education	980-0845	宮城県仙台市青葉区荒巻字青葉149番地	022-214-3675	https://www.miyakyo-u.ac.jp/	青葉山地区		38.259061	140.830894	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
57	21301	F104210100872	宮城大学	Miyagi University	981-3298	宮城県黒川郡大和町学苑1番地1	022-377-8205	https://www.myu.ac.jp/	大和キャンパス		38.348519	140.839615	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
58	31301	F104310100889	仙台大学	Sendai University	989-1693	宮城県柴田郡柴田町船岡南二丁目2-18	0224-55-1121	https://www.sendaidaigaku.jp/	船岡キャンパス		38.051453	140.771576	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
59	31302	F104310100898	東北学院大学	Tohoku Gakuin University	980-8511	宮城県仙台市青葉区土樋一丁目3-1	022-264-6421	https://www.tohoku-gakuin.ac.jp/	土樋キャンパス		38.249283	140.878001	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
60	31303	F104310100905	東北工業大学	Tohoku Institute of Technology	982-8577	宮城県仙台市太白区八木山香澄町35-1	022-305-3311	https://www.tohtech.ac.jp/	八木山キャンパス		38.246044	140.852242	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
61	31304	F104310100914	東北福祉大学	Tohoku Fukushi University	981-8522	宮城県仙台市青葉区国見一丁目8-1	022-233-3111	https://www.tfu.ac.jp/	国見キャンパス		38.279856	140.847377	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
62	31305	F104310100923	東北医科薬科大学	Tohoku Medical and Pharmaceutical University	981-8558	宮城県仙台市青葉区小松島四丁目4-1	022-234-4181	https://www.tohoku-mpu.ac.jp/	小松島キャンパス		38.284621	140.885828	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
63	31306	F104310100932	東北生活文化大学	Tohoku Seikatsu Bunka University	981-8585	宮城県仙台市泉区虹の丘一丁目18-2	022-272-7511	https://www.mishima.ac.jp/tsb/			38.303897	140.872082	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
64	31307	F104310100941	宮城学院女子大学	Miyagi Gakuin Women’s University	981-8557	宮城県仙台市青葉区桜ヶ丘九丁目1-1	022-279-1311	https://www.mgu.ac.jp/			38.306077	140.853999	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
65	31308	F104310100950	石巻専修大学	Ishinomaki Senshu University	986-8580	宮城県石巻市南境新水戸1	0225-22-7711	https://www.senshu-u.ac.jp/ishinomaki/			38.454248	141.294973	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
66	31309	F104310100969	仙台白百合女子大学	Sendai Shirayuri Women’s College	981-3107	宮城県仙台市泉区本田町6-1	022-372-3254	https://sendai-shirayuri.ac.jp/		2027年4月改称・共学化予定（仙台白百合大学）	38.321477	140.903715	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
67	31310	F104310100978	東北文化学園大学	Tohoku Bunka Gakuen University	981-8551	宮城県仙台市青葉区国見六丁目45-1	022-233-3310	https://www.tbgu.ac.jp/			38.27729	140.833028	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
68	31311	F104310100987	尚絅学院大学	Shokei Gakuin University	981-1295	宮城県名取市ゆりが丘四丁目10-1	022-381-3300	https://www.shokei.jp/			38.196054	140.829453	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
69	31312	F104310100996	仙台青葉学院大学	Sendai Seiyo Gakuin University	984-0022	宮城県仙台市若林区五橋三丁目5-75	022-369-8000	https://seiyogakuin.ac.jp/	五橋キャンパス	2024年4月開学	38.253613	140.88371	宮城県：私立学校名簿，＜https://www.pref.miyagi.jp/site/shigaku/sigaku-rist.html＞
70	11401	F105110101051	秋田大学	Akita University	010-8502	秋田県秋田市手形学園町1-1	018-889-2207	https://www.akita-u.ac.jp/	手形キャンパス		39.726796	140.133167	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
71	21401	F105210101068	秋田県立大学	Akita Prefectural University	010-0195	秋田県秋田市下新城中野字街道端西241-438	018-872-1500	https://www.akita-pu.ac.jp/	秋田キャンパス		39.800818	140.045903	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
72	21402	F105210101077	国際教養大学	Akita International University	010-1292	秋田県秋田市雄和椿川字奥椿岱	018-886-5900	https://www.aiu.ac.jp/			39.626363	140.197806	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
73	21403	F105210101086	秋田公立美術大学	Akita University of Art	010-1632	秋田県秋田市新屋大川町12-3	018-888-8100	https://www.akibi.ac.jp/			39.686442	140.09082	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
74	31401	F105310101093	ノースアジア大学	North Asia University	010-8515	秋田県秋田市下北手桜守沢46-1	018-836-1342	https://www.nau.ac.jp/			39.716538	140.157523	公式ウェブサイト
75	31402	F105310101100	秋田看護福祉大学	Akita University of Nursing and Welfare	017-0046	秋田県大館市清水2-3-4	0186-43-6510	https://www.well.ac.jp/			40.280656	140.553414	公式ウェブサイト
76	31403	F105310101119	日本赤十字東北看護大学	Japanese Red Cross Tohoku College of Nursing	010-1493	秋田県秋田市上北手猿田字苗代沢17番地3	018-829-4000	https://www.rctohoku.ac.jp/		2025年4月改称（旧・日本赤十字秋田看護大学，Japanese Red Cross Akita College of Nursing）	39.68585	140.154662	公式ウェブサイト
77	11501	F106110101176	山形大学	Yamagata University	990-8560	山形県山形市小白川町1-4-12	023-628-4006	https://www.yamagata-u.ac.jp/	小白川キャンパス		38.246612	140.34937	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
78	21504	F106210000014	東北公益文科大学	Tohoku University of Community Service and Science	998-8580	山形県酒田市飯森山三丁目5番地の1	0234-41-1111	https://www.koeki-u.ac.jp/	酒田キャンパス	2026年4月公立化	38.893299	139.819537	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
79	21501	F106210101183	山形県立保健医療大学	Yamagata Prefectural University of Health Sciences	990-2212	山形県山形市上柳260番地	023-686-6611	https://www.yachts.ac.jp/			38.297001	140.346148	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
80	21502	F106210101192	山形県立米沢栄養大学	Yamagata Prefectural Yonezawa University of Nutrition Sciences	992-0025	山形県米沢市通町6-15-1	0238-22-7330	https://www.u.yone.ac.jp/			37.891358	140.123377	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
81	21503	F106210101209	東北農林専門職大学	Tohoku Professional University of Agriculture and Forestry	996-0052	山形県新庄市角沢1366	0233-22-1527	https://tpuaf.ac.jp/university/		2024年4月開学	38.7293586	140.2975613	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
82	31501	F106310101207	東北芸術工科大学	Tohoku University of Art and Design	990-9530	山形県山形市上桜田3-4-5	023-627-2000	https://www.tuad.ac.jp/	山形キャンパス		38.218754	140.344731	公式ウェブサイト
83	31503	F106310101225	東北文教大学	Tohoku Bunkyo College	990-2316	山形県山形市片谷地515	023-688-2298	https://www.t-bunkyo.ac.jp/			38.209893	140.303363	公式ウェブサイト
84	31504	F106310101234	電動モビリティシステム専門職大学	Professional University of Electric Mobility Systems	999-0602	山形県西置賜郡飯豊町萩生1725-2	0238-88-7377	https://www.mobility-ac.com/		2027年4月改称予定（日本先端モビリティ専門職大学），2023年4月開学	38.0674753	139.9881118	公式ウェブサイト
85	11601	F107110101273	福島大学	Fukushima University	960-1296	福島県福島市金谷川1	024-548-8006	https://www.fukushima-u.ac.jp/			37.683761	140.455836	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
86	21601	F107210101280	福島県立医科大学	Fukushima Medical University	960-1295	福島県福島市光が丘1番地	024-547-1111	https://www.fmu.ac.jp/	光が丘キャンパス		37.689191	140.468564	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
87	21602	F107210101299	会津大学	The University of Aizu	965-8580	福島県会津若松市一箕町鶴賀字上居合90	0242-37-2500	https://u-aizu.ac.jp/			37.523763	139.938025	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
88	31601	F107310101304	郡山女子大学	Koriyama Women’s University	963-8503	福島県郡山市開成三丁目25番2号	024-932-4848	https://www.koriyama-kgc.ac.jp/			37.396351	140.349889	公式ウェブサイト
89	31602	F107310101313	奥羽大学	Ohu University	963-8041	福島県郡山市富田町字三角堂31-1	024-932-8931	https://www.ohu-u.ac.jp/			37.418577	140.374282	公式ウェブサイト
90	31603	F107310101322	医療創生大学	Iryo Sosei University	970-8551	福島県いわき市中央台飯野5-5-1	0246-29-5111	https://www.isu.ac.jp/	いわきキャンパス		37.0188	140.916894	公式ウェブサイト
91	31604	F107310101331	東日本国際大学	Higashi Nippon International University	970-8023	福島県いわき市平鎌田字寿金沢37	0246-35-0001	https://www.shk-ac.jp/	鎌田キャンパス		37.0575339	140.9080152	公式ウェブサイト
92	31605	F107310101340	福島学院大学	Fukushima College	960-0181	福島県福島市宮代乳児池1-1	024-553-3221	https://www.fukushima-college.ac.jp/	宮代キャンパス		37.799707	140.486051	公式ウェブサイト
93	12101	F108110101414	茨城大学	Ibaraki University	310-8512	茨城県水戸市文京2-1-1	029-228-8111	https://www.ibaraki.ac.jp/	水戸キャンパス		36.400918	140.442775	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
94	12102	F108110101423	筑波大学	University of Tsukuba	305-8577	茨城県つくば市天王台1-1-1	029-853-2111	https://www.tsukuba.ac.jp/	筑波キャンパス		36.108722	140.103961	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
95	12103	F108110101432	筑波技術大学	Tsukuba University of Technology	305-8520	茨城県つくば市天久保4-3-15	029-852-2931	https://www.tsukuba-tech.ac.jp/	天久保キャンパス		36.104361	140.110459	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
96	22101	F108210101449	茨城県立医療大学	Ibaraki Prefectural University of Health Sciences	300-0394	茨城県稲敷郡阿見町阿見4669-2	0298-88-4000	https://www.ipu.ac.jp/			36.026674	140.210961	公立大学協会：会員校一覧，＜https://www.kodaikyo.org/?page_id=718＞
97	32101	F108310101456	茨城キリスト教大学	Ibaraki Christian University	319-1295	茨城県日立市大みか町6-11-1	0294-52-3215	https://www.icc.ac.jp/			36.514437	140.61669	公式ウェブサイト
98	32102	F108310101465	流通経済大学	Ryutsu Keizai University	270-8555	千葉県松戸市新松戸3-2-1	047-340-0001	https://www.rku.ac.jp/	新松戸キャンパス		35.8255651	139.9165416	公式ウェブサイト
99	32103	F108310101474	常磐大学	Tokiwa University	310-8585	茨城県水戸市見和1-430-1	029-232-2511	https://www.tokiwa.ac.jp/	見和キャンパス		36.38106	140.440505	公式ウェブサイト
100	32104	F108310101483	つくば国際大学	Tsukuba International University	300-0051	茨城県土浦市真鍋6-20-1	029-826-6000	https://www.ktt.ac.jp/tiu/	つくば国際大学キャンパス		36.107191	140.1988747	公式ウェブサイト
101	32105	F108310101492	日本国際学園大学	Japan International University	305-0031	茨城県つくば市吾妻3-1	029-858-4811	https://www.japan-iu.ac.jp/	つくばキャンパス	2024年4月改称（旧・筑波学院大学，Tsukuba Gakuin University）	36.087933	140.107634	公式ウェブサイト
102	32106	F108310101508	日本ウェルネススポーツ大学	Nihon Wellness Sports University	300-1622	茨城県北相馬郡利根町大字布川1377	0297-68-6787	https://www.nihonwellness.jp/	1号館		35.8603	140.145286	公式ウェブサイト
103	32107	F108310111971	アール医療専門職大学	R Professional University of Rehabilitation	300-0032	茨城県土浦市湖北2-10-35	029-824-7611	https://a-ru.ac.jp/university/			36.0848947	140.2125913	公式ウェブサイト
104	12201	F109110101556	宇都宮大学	Utsunomiya University	321-8505	栃木県宇都宮市峰町350	028-649-8172	https://www.utsunomiya-u.ac.jp/	峰キャンパス		36.550972	139.912712	国立大学協会：一般社団法人国立大学協会会員名簿2026，＜https://www.janu.jp/cms/wp-content/uploads/2026/04/meibo2026.pdf＞
105	32201	F109310101561	足利大学	Ashikaga University	326-8558	栃木県足利市大前町268-1	0284-62-0605	https://ashikaga.ac.jp/	大前キャンパス		36.352896	139.39585	公式ウェブサイト
106	32204	F109310101570	白鴎大学	Hakuoh University	323-8586	栃木県小山市駅東通り2-2-2	0285-22-1111	https://hakuoh.jp/	本キャンパス		36.311663	139.80704	公式ウェブサイト
107	32205	F109310101589	作新学院大学	Sakushin Gakuin University	321-3295	栃木県宇都宮市竹下町908	028-667-7111	https://www.sakushin-u.ac.jp/			36.543389	139.977359	公式ウェブサイト
108	32206	F109310101598	国際医療福祉大学	International University of Health and Welfare	324-8501	栃木県大田原市北金丸2600-1	0287-24-3000	https://www.iuhw.ac.jp/	大田原キャンパス		36.870986	140.069648	公式ウェブサイト
109	32207	F109310101605	宇都宮共和大学	Utsunomiya Kyowa University	320-0811	栃木県宇都宮市大通り1-3-18	028-650-6611	https://www.kyowa-u.ac.jp/	宇都宮シティキャンパス		36.560718	139.890995	公式ウェブサイト
110	32208	F109310101614	文星芸術大学	Bunsei University of Art	320-0058	栃木県宇都宮市上戸祭4-8-15	028-625-6888	https://geidai.bunsei.ac.jp/			36.598955	139.859296	公式ウェブサイト
111	32202	F109310101623	自治医科大学	Jichi Medical University	329-0498	栃木県下野市薬師寺3311-1	0285-44-2111	https://www.jichi.ac.jp/			36.399763	139.860547	公式ウェブサイト
